vm_id,cpu_mean,cpu_last_3_days_mean,cpu_p95,cpu_max,cpu_below_5_pct,memory_mean,disk_mean,outbound_network_mean,possible_bursty,baseline_label,reference_label
1001,0.2606944444444444,0.2747685185185184,0.5333333333333333,16.2,99.7800925925926,2.8756621908871787,2.674861111111111,3.9792206790123457,False,False,True
1217,0.7565558939052914,0.8750771604938271,4.748333333333297,28.266666666666666,95.21547729379056,3.055289349898518,1.6918139591332362,2.218473895582329,False,False,True
1231,0.8209093606019623,0.8616043871252204,2.1666666666666665,30.466666666666665,98.93481532939678,4.880572212513563,5.731424461070172,4.0431014298503,False,False,True
1232,0.7279015300278187,0.9840966710758378,1.6233333333333273,30.966666666666665,98.2045638827754,4.598846977644398,4.259859301026913,2.541670903905932,False,False,True
141,0.925999142272454,1.0063795194003529,1.0666666666666669,5.7,99.9884165411792,4.400762032276654,2.078714295408956,2.8332482960364342,False,False,True
317,1.026874017702043,1.0545524691358024,1.0,11.133333333333333,99.94209612044008,2.609281679412156,4.585111427850281,11.73662638847352,False,False,True
347,0.1011740241358075,0.0993978725749559,0.1,19.933333333333334,99.52518818760858,0.3610090360577411,2.036958547468102,7.105656466675575,False,False,True
542,0.5076168913404321,0.0,3.9,10.466666666666669,99.84704198944095,8.60559886219463,2.676796651153981,0.1492494249389695,False,False,True
563,0.1534829315557031,0.0401234567901234,1.0,42.4,99.80269266480964,0.4885210031738857,6.26036991482674,3.626400110000388,False,False,True
584,0.9610387736127554,0.5830721747388414,1.6,6.533333333333334,99.96518509922248,4.008466144872575,5.347335788011198,2.83167962039379,False,False,True
585,0.521617356020653,0.5282958553791888,1.0666666666666669,14.8,99.90712793127466,4.298831861139038,5.649674533152012,2.766113303923845,False,False,True
791,1.0576477213055857,1.0481433256172838,1.5,2.3,100.0,3.314140824043748,4.805593971386194,58.17588821638154,False,False,True
792,1.3201011096933843,1.264084545855379,1.5,3.375,100.0,2.6458302313696174,6.88622632442375,4.972103004291847,False,False,True
793,0.9907591740896058,0.9817690227887216,1.05,2.4375,100.0,2.589660493540117,4.754607019283204,4.654649262709848,False,False,True
849,1.0149240102419397,1.001543209876543,1.0,11.733333333333333,99.8725967106787,0.6834057911115108,7.687385373808237,6.148498185468303,False,False,True
857,0.0818558285201787,0.0314771848414539,0.6666666666666667,12.0,99.8725967106787,5.305809226713828,2.8791053726599247,3.742582603353972,False,False,True
888,1.0881770364111727,1.06875,1.8,13.666666666666668,99.94210282538212,0.8276001582118885,1.494141491003464,11.911169276595976,False,False,True
908,0.0050528028235034,0.0218364197530864,0.0,10.8,99.95367689635204,3.814104610183077,1.1721626414504236,3.4173338878839745,False,False,True
910,0.6329388568333554,0.0078703703703703,3.2,4.0,100.0,9.656807046830028,2.724672101987562,0.5503343652891006,False,False,True
911,1.3632563821906754,0.0397395574684103,4.0,10.0,99.97678198281866,7.391863679570069,2.7723423662476367,1.0808313155770783,False,False,True
913,1.3040364863894276,0.015432098765432,4.0,4.533333333333333,100.0,6.284223797235712,0.985300471273322,0.0888375073895435,False,False,True
916,0.0607095690148504,0.0797839506172839,0.2,23.53333333333333,99.87231572838073,3.0831868884448306,0.037122299252305,21.04378020863511,False,False,True
918,0.092978645182222,0.2422067901234567,0.7333333333333333,14.933333333333332,99.9767738938567,2.406769628852839,0.0380176334072513,10.20296835965748,False,False,True
919,0.1906795953121275,0.3056327160493827,1.3333333333333337,45.22222222222223,99.60524788110996,5.827052781881726,0.0876695298586625,51.89360169610953,False,False,True
921,0.0064619941096661,0.011574074074074,0.0,0.9333333333333332,100.0,4.42245407422736,0.135383711339236,4.608885246480798,False,False,True
922,0.0335435959086881,0.030372299382716,0.0,9.133333333333333,99.90716026459324,2.539347615474465,0.0367499140447962,21.419799139843818,False,False,True
93,0.3207902705640262,0.1836970899470899,1.0666666666666669,17.2,99.98839772595429,2.4816257941597746,1.265299720390218,6.544923649335414,False,False,True
955,0.5488830666856144,1.895987654320988,1.3333333333333337,64.73333333333333,97.9154603358425,2.4900174505333736,1.4481472763869985,33.593459393337795,False,False,True
956,0.1534579643327031,0.1406635802469135,0.2666666666666666,15.066666666666668,99.08288832133736,2.4560608199636844,5.261485593773148,2.15913780998817,False,False,True
