seed,method,cycle,training_vms,feedback_vms_remaining,accuracy_pct,precision_pct,recall_pct,f1_pct,mean_confidence_pct
42,confidence,0,679,291,97.11934156378601,96.0,96.96969696969697,96.4824120603015,93.52537722908093
42,confidence,1,699,271,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,93.75034293552812
42,confidence,2,719,251,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.1138545953361
42,confidence,3,739,231,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.24965706447188
42,confidence,4,759,211,99.58847736625515,99.0,100.0,99.49748743718592,94.44718792866941
42,confidence,5,779,191,99.58847736625515,99.0,100.0,99.49748743718592,94.6474622770919
42,random,0,679,291,97.11934156378601,96.0,96.96969696969697,96.4824120603015,93.52537722908093
42,random,1,699,271,97.94238683127571,97.95918367346938,96.96969696969697,97.46192893401016,93.68449931412894
42,random,2,719,251,97.53086419753086,96.96969696969697,96.96969696969697,96.96969696969697,93.73799725651577
42,random,3,739,231,97.94238683127571,97.95918367346938,96.96969696969697,97.46192893401016,93.76406035665296
42,random,4,759,211,98.35390946502058,100.0,95.95959595959596,97.9381443298969,93.77091906721536
42,random,5,779,191,97.94238683127571,98.95833333333334,95.95959595959596,97.43589743589743,93.74074074074075
7,confidence,0,679,291,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.87105624142661
7,confidence,1,699,271,97.53086419753086,98.94736842105263,94.94949494949495,96.90721649484536,92.6556927297668
7,confidence,2,719,251,98.35390946502058,97.97979797979798,97.97979797979798,97.97979797979798,93.27160493827161
7,confidence,3,739,231,98.35390946502058,98.96907216494846,96.96969696969697,97.95918367346938,93.85733882030178
7,confidence,4,759,211,98.35390946502058,98.96907216494846,96.96969696969697,97.95918367346938,94.08504801097394
7,confidence,5,779,191,98.35390946502058,98.96907216494846,96.96969696969697,97.95918367346938,93.95336076817559
7,random,0,679,291,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.87105624142661
7,random,1,699,271,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.91769547325104
7,random,2,719,251,96.29629629629629,98.91304347826086,91.91919191919192,95.28795811518324,93.18244170096021
7,random,3,739,231,96.70781893004116,98.9247311827957,92.92929292929293,95.83333333333334,93.35528120713306
7,random,4,759,211,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,93.35665294924554
7,random,5,779,191,97.53086419753086,98.94736842105263,94.94949494949495,96.90721649484536,93.22770919067216
21,confidence,0,679,291,98.76543209876543,100.0,96.96969696969697,98.46153846153847,93.4170096021948
21,confidence,1,699,271,99.58847736625515,99.0,100.0,99.49748743718592,93.67489711934157
21,confidence,2,719,251,98.76543209876543,98.0,98.98989898989899,98.49246231155779,93.9122085048011
21,confidence,3,739,231,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.14403292181069
21,confidence,4,759,211,99.58847736625515,99.0,100.0,99.49748743718592,94.60631001371742
21,confidence,5,779,191,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.58161865569272
21,random,0,679,291,98.76543209876543,100.0,96.96969696969697,98.46153846153847,93.4170096021948
21,random,1,699,271,98.35390946502058,97.02970297029702,98.98989898989899,98.0,93.35665294924554
21,random,2,719,251,99.1769547325103,100.0,97.97979797979798,98.9795918367347,93.45679012345678
