vm_id,cpu_mean,cpu_last_3_days_mean,cpu_p95,cpu_max,cpu_below_5_pct,memory_mean,disk_mean,outbound_network_mean,low_secondary_resource_count,possible_bursty,consistently_low_usage,reference_label,manual_label,review_notes
1114,0.13105264162589,0.1368386243386243,0.4,1.3333333333333337,100.0,23.85257538540513,0.0403278250412008,0.0003628643119088,2,False,True,True,,
1085,0.1313734339614376,0.1370744357998123,0.4,0.75,100.0,19.19846860055502,1.0921271773489234,0.0,2,False,True,True,,
413,1.7909339968408455,1.8575727513227511,2.0666666666666664,10.183333333333334,99.39640162507256,1.6703640787547185,10.16524684446913,0.5970184893458252,2,False,True,True,,
470,1.7352088792331422,1.7343364197530864,1.9833333333333327,5.566666666666666,99.97678198281866,4.092543922198601,10.458433285621584,0.0336440125156168,2,False,True,True,,
1097,0.1314495271183169,0.1370039682539682,0.4,0.6,100.0,22.8321505144861,1.084962348980878,0.0,2,False,True,True,,
158,0.094361551022993,0.3527006172839506,0.4666666666666666,57.26666666666667,99.9187275049344,2.1596683670690147,5.438569323139159,0.0009675297031618,3,False,True,True,,
1042,0.9104296126809764,0.9125,1.0666666666666669,1.8666666666666665,100.0,53.960119991825806,0.3278781087647282,0.5750067885642911,2,False,True,True,,
1163,0.9177831170171004,0.9416666666666668,1.0666666666666669,12.6,99.98839368616528,43.87425255361446,0.251612140374327,1.0140890978025376,2,False,True,True,,
920,0.0009584113100418,0.0,0.0,0.6666666666666667,100.0,1.9705732934346825,0.0353822547161296,0.7365639482820636,3,False,True,True,,
520,1.6123856778533403,1.556045157260435,2.216666666666667,6.083333333333334,99.96519721577724,4.166558181219172,10.428955012826822,0.0341588322736814,2,False,True,True,,
1013,0.0,0.0,0.0,0.0,100.0,6.337480051849987,0.0,0.0,2,False,True,True,,
418,1.428010258837981,1.3486634700176368,1.8666666666666665,9.016666666666666,99.45437659623867,1.0324981110525122,10.477952791732683,0.5893941288183219,2,False,True,True,,
1116,0.1037548121480002,0.1001878245497735,0.4,0.75,100.0,20.01261293994874,1.083198792634613,0.0771208460214484,2,False,True,True,,
1180,0.1309076967209497,0.1357583774250441,0.4,0.5333333333333333,100.0,17.692557787567157,1.1085764019730655,0.0,2,False,True,True,,
831,0.0077100401340011,0.0,0.0,12.0,99.965172974228,3.527183806757789,0.675101993432618,0.00696927482393,3,False,True,True,,
318,1.2752074437394332,1.4205246913580245,1.5833333333333337,28.816666666666663,98.00175284837862,6.10978818479304,258.2574546127745,199.1271652799435,0,False,False,False,,
907,0.1471180553141109,0.1298584806397306,0.6,10.4,99.91879350348027,6.403466397104096,0.0262839867016201,18.967182266689225,1,False,False,False,,
1215,0.0588806374255434,0.3097222222222223,0.6,5.533333333333334,99.97679275934092,8.601700180012061,0.3389813423986085,3.222832333211772,1,False,False,False,,
118,10.450249990598614,10.601284773892198,15.178125,17.460416666666667,0.0,0.1971226523264792,10.48598046954593,0.0752870118120814,2,False,False,False,,
1224,1.3711650743842838,0.9976466049382716,2.0,92.0,99.46977730646871,3.726316556895602,21.63382296640894,0.0695978767483084,2,True,True,False,,
266,47.34436631240345,16.407277993996743,104.13333333333334,105.375,44.207104713257486,11.291156379220572,6.104901903877409,3.913791576622433,1,False,False,False,,
44,2.504467451705117,2.6872023809523813,2.6333333333333333,6.9,99.88417882788974,17.366336660056316,3.4012505723242343,0.0471984074659543,2,False,False,False,,
323,2.7306339431976374,2.723092203277603,3.1,7.0,99.84944991314418,5.389140168310294,20.99928000134717,2.3788160228113906,1,False,False,False,,
72,0.7164071793993345,0.0,5.333333333333334,21.73333333333333,91.91336096309452,19.78872172014359,1.7344389023526088,0.1901958275700134,2,False,False,False,,
45,2.956089721257334,1.978849189005439,8.066666666666666,87.7,91.2227883279296,14.1701042805693,375.7039237996192,23.823637107000355,0,False,False,False,,
57,4.140005877105459,4.286111111111112,5.6,17.8,75.68477251624884,10.548413496651827,11.646150242772809,0.6346170764781488,1,False,False,False,,
258,47.663381579567016,34.17161833793779,104.2525,105.04166666666666,44.28322692977365,10.19800863203969,3.8786768741672977,4.1442108136913705,1,False,False,False,,
638,9.260208075007473,0.0,99.38666666666664,104.78333333333336,83.14639056658038,9.186593127009504,5.475239601736582,1.980148869441363,1,False,False,False,,
117,3.740506764948224,4.381488370811288,4.904166666666667,9.804166666666667,98.34087481146304,0.5779088880233243,18.52646412932699,12.34516464411174,1,False,False,False,,
462,2.0052945043895267,1.9570023148148148,2.05,83.61666666666666,98.75855667710871,1.25089949497745,11.228247669876628,2.540356576555672,1,False,False,False,,
131,2.029922574789916,2.0308300953483243,2.620833333333333,13.3125,99.86074039688988,1.9014051914000032,36.90018669775546,31.12096307622593,1,False,False,False,,
893,2.0022938480736325,1.7418209876543211,2.6,18.53333333333333,99.74528192659488,0.8740919356100785,188.0698753287673,0.2568784154751504,2,False,False,False,,
377,1.7372683239806368,1.6982093571937322,2.6333333333333333,11.966666666666669,99.52419635604038,1.5540460031857146,8.17661789585603,0.59759940844425,2,False,True,True,,
507,1.5949974230161403,1.711735002555315,2.216666666666667,5.1,99.9767846778874,3.720712702466277,10.789492696959323,0.0461588682163261,2,False,True,True,,
338,1.7565698788106303,1.1176256613756612,3.0,92.0,99.51485748938752,3.701000993803411,29.571380193992383,0.144101764417107,2,True,True,False,,
856,2.1293639352990827,2.0813731600189933,3.8,14.866666666666667,95.52982049797336,31.83912479097961,31.0498538005776,1.483999235982444,0,False,False,False,,
804,1.1054170676167192,2.282137345679012,6.840476190476173,60.63333333333333,93.18630295995357,3.4354999074163204,10.932157012072857,0.1627143054275961,2,False,False,False,,
492,1.541660310828138,1.611347459029962,1.7666666666666666,5.3,99.98839368616528,4.101822782873524,10.525359243047266,0.0265685104125215,2,False,True,True,,
521,1.6781482382335149,2.0022762345679013,2.1333333333333333,5.083333333333333,99.97679545190856,4.099766383961405,10.407555757851616,0.0336691405434879,2,False,False,False,,
509,1.7075987377958315,1.6163727837555963,2.1666666666666665,5.533333333333334,99.96519317786289,4.113363027086561,10.48244134653811,0.0325120722440597,2,False,True,True,,
379,1.7275447339209815,1.6052083333333331,2.2333333333333334,11.8,99.67494775946136,1.4694805253439478,8.348079945813286,0.2412329872743153,2,False,True,True,,
1091,1.9557253657386815,1.943669871794872,12.133333333333333,15.0,85.3520148216767,10.436906426726088,1.6362445156099623,189.4223908187433,1,False,False,False,,
944,2.3125666280417154,3.191139100651862,3.8,63.5,96.73232908458864,5.674196653415729,320.446120555124,40.69445933910302,1,False,False,False,,
439,1.9090036903574457,1.860814525462963,2.25,75.7,99.04806129556536,2.902755414963685,10.47604755066155,1.6025722033558116,1,False,False,False,,
741,3.552580700416625,4.824305555555556,5.142857142857143,40.266666666666666,89.71919238802506,5.201524142609622,14.437659942942492,0.7998899037452066,2,False,False,False,,
445,2.020878451689537,2.011904761904762,2.6333333333333333,77.25,99.03656413232731,2.8609574447349586,10.514911033378825,1.5376753716393878,1,False,False,False,,
427,1.7230691545505286,1.9353587962962964,1.9833333333333327,82.56666666666666,98.88592317511896,3.640895605651042,11.015974003173724,2.2200087058506464,1,False,False,False,,
458,2.2121896411962,2.6797024060044894,2.65,87.68333333333334,98.7926631065707,1.290114237055894,11.126587025182337,2.3399631828584697,1,True,False,False,,
380,1.8324724303554831,1.9548721340388004,2.6333333333333333,14.866666666666667,99.51247823563553,1.4953823097802594,8.199535201369214,0.3579717844546631,2,False,True,True,,
766,4.717437256637656,4.756896219135803,4.85,14.516666666666667,97.2550382209868,3.659383863388524,11.0952581341393,1.1106568347360566,1,False,False,False,,
422,1.969012373952767,1.8782921810699589,2.283333333333333,83.25,98.79336349924586,1.1951082295018849,11.318016985785867,2.144646839669464,1,False,False,False,,
913,1.3040364863894276,0.015432098765432,4.0,4.533333333333333,100.0,6.284223797235712,0.985300471273322,0.0888375073895435,2,False,True,True,,
510,1.602900633437239,1.539722504706572,1.9166666666666663,5.283333333333334,99.97677659080352,4.049599848723787,10.524450890364731,0.0336187345708943,2,False,True,True,,
107,1.5111563926592408,1.7094135802469137,1.7666666666666666,5.75,99.98837479655894,0.4709915951844564,8.152463607590322,0.055960947265295,2,False,True,True,,
423,1.7711064085846444,1.9911747685185184,1.8666666666666665,75.56666666666666,98.81601857225768,3.2378464752900613,10.879860909065783,2.498918000165824,1,False,False,False,,
737,2.4341408240264752,2.114072145061728,3.1333333333333333,17.6,99.64012073368934,3.1059762046745574,5.160539789777078,0.0596050725839441,3,False,False,False,,
977,30.028773148148147,28.34050925925926,66.0,87.66666666666666,0.0,15.238198510762643,982.4326554232804,240.30700617283952,0,False,False,False,,
475,1.723361403043464,1.7019538139329806,1.9166666666666663,5.583333333333334,99.96518913901136,4.100870019043034,10.541190386931858,0.0270320149410425,2,False,True,True,,
968,2.009112898428003,2.1121527777777778,1.933333333333333,55.53333333333333,98.56649853995222,1.7855400390141862,18.18032299971509,2.5921245907441817,1,False,False,False,,
