vm_id,actual_label,predicted_label,probability_true,confidence_score,confidence_band,recommended_action,correct
836,False,False,0.0,1.0,High,No Action,True
228,True,True,1.0,1.0,High,Shutdown,True
847,False,False,0.0,1.0,High,No Action,True
1209,False,False,0.0,1.0,High,No Action,True
333,False,False,0.0,1.0,High,No Action,True
624,False,False,0.003,0.997,High,No Action,True
1006,True,True,1.0,1.0,High,Shutdown,True
182,False,False,0.06,0.94,High,No Action,True
675,True,True,0.997,0.997,High,Shutdown,True
307,True,True,0.983,0.983,High,Shutdown,True
971,False,False,0.217,0.783,Medium,No Action,True
311,True,True,0.953,0.953,High,Shutdown,True
567,False,False,0.077,0.923,High,No Action,True
740,False,False,0.01,0.99,High,No Action,True
784,False,False,0.0,1.0,High,No Action,True
667,True,True,1.0,1.0,High,Shutdown,True
948,False,False,0.03,0.97,High,No Action,True
264,False,False,0.003,0.997,High,No Action,True
87,False,False,0.063,0.937,High,No Action,True
419,False,False,0.0,1.0,High,No Action,True
1061,False,False,0.03,0.97,High,No Action,True
1031,True,True,0.997,0.997,High,Shutdown,True
1168,True,True,1.0,1.0,High,Shutdown,True
1081,False,False,0.073,0.927,High,No Action,True
360,False,False,0.0,1.0,High,No Action,True
1156,True,True,0.97,0.97,High,Shutdown,True
501,False,False,0.233,0.767,Medium,No Action,True
277,False,False,0.013,0.987,High,No Action,True
886,False,False,0.0,1.0,High,No Action,True
894,False,False,0.003,0.997,High,No Action,True
